Age,Gender,Marital_Status,Living_Situation,Knowledge_Area,Education_Level,Teaching_Level,Num_Institutions,Institution_Network,Official_Workload,Actual_Workload_Pandemic,Years_Teaching,"Considering the devices and technological resources, indicate those to which you have (1) and do not have access (0): [Mobile]","Considering the devices and technological resources, indicate those you have (1) and do not have access (0): [Desktop computer]","Considerando os dispositivos e recursos tecnológicos, indique aqueles a que tem (1) e não tem acesso (0): [Computador portátil (notebook)]","Considerando os dispositivos e recursos tecnológicos, indique aqueles a que tem (1) e não tem acesso (0): [Tablet]",Amount resource that has access,"Considering the devices and technological resources, indicate those to which you have (1) and do not have access (0): [Home internet connection]","Considering the devices and technological resources, indicate those to which you have (1) and do not have access (0): [Internet connection by /on mobile]",Internet connection,"Considering your conditions of access to technologies, such as computer or notebook, you evaluate that these conditions are:","Considering your internet access conditions (cable and/or wi-fi), you assess that these conditions are:",Conditions of access devices and internet,CD [Email account],CD [Instant communicators (e.g. whatsapp)],"CD [Web conferencing or synchronous communication platform with video and sound (e.g. meet, zoom or skype)]","CD [Virtual learning environment (e.g. moodle, e-proinfo or google classroom)]","CD [Social networks (e.g. facebook, instagram or linkedin)]",CD [Applications for editing digital text (e.g. word or libreoffice)],CD [Visual editing tools (e.g. power point or canva)],CD [Tools for recording videos (e.g. digital cameras)],"CD [Tools for video editing (e.g. movavi, moviemaker or camtasia)]",CD [Tools or resources for online activities (e.g. online forum or questionnaire))],"CD [Tools for interactive presentation (e.g. kahoot, socrative or lied)]",Digital_Competence_Score,New_Resources_Learned,CT - I have support from people who live with me in my residence,CT - My co-workers assist me in the activities necessary for remote teaching,"CT - The institution or school offers support, guidance and support for the development of remote education activities",CT - The technical(s) of the institution or school offers support for carrying out activities in the pandemic,CT - Received technical training for the use of technological resources,CT - I received pedagogical training to work in remote education,"CT - Participated in courses, lives and/ or lectures in addition to those offered by the institution(s) in which I work",CT - I dedicate more hours for planning in remote education than in face-to-face teaching,"CT - The process of evaluating learning, correcting and returning activities is more time-consuming in remote education",CT - I have difficulty using technological resources in remote education,CT - In my institution lack technological resources to develop activities in remote education,CT - Sinto-me sozinho na atuação no ensino remoto,CT - I missed being and interacting with students in the classroom in face-to-face teaching,Working_Conditions_Score,QV [Sleep quality],QV [Amount of sleep hours],QV [Feed quality],QV [Body Weight],QV [Blood pressure],QV [Mood],QV [Anxiety],QV [Gastrointestinal problems],QV  [Muscle pain],Quality_of_Life_Score,"MBI -1In the pandemic, I feel emotionally exhausted with my work [-]",MBI -2I feel more tired at the end of the working day than before the pandemic [-],"MBI -3When I wake up in the morning and face another day of work, I feel more tired than before the pandemic [-]",MBI -4In the pandemic I have easier to understand how my students feel [-],"MBI -5Now in the pandemic, I feel that working all day with students is a great effort and tire me more [-]",MBI -6I think I deal with my students' problems more effectively in remote teaching [-],MBI -7I feel that my work in remote teaching is wearing me down [-],MBI -8I believe that with my work I am positively influencing the lives of my students [+],MBI -9I've become more insensitive to people since I started teaching in the pandemic ,MBI -10I feel that working in remote education is hardening me emotionally [-],MBI -11I feel very willing for my work in remote teaching [-],MBI -12I feel frustrated in my work in remote teaching [-],MBI -13I feel like I'm working too the pandemic [-],MBI -14I didn't worry about what happens to some students during the pandemic [-],MBI -15 I didn't worry about what happens to some students during the pandemic [-],MBI -16 I feel that I can easily create a pleasant atmosphere with my students in remote teaching [-],MBI -17I feel motivated after working with my students even remotely [-],MBI -18 I believe I get many valuable things in my job as a teacher in the pandemic [-],"MBI -19In the pandemic, I feel at the limit of my possibilities at work [-]",MBI -20I think students blame me more for some of their problems in remote teaching than in the face-to-face [-],MBI_Total_Score,Know_COVID_Cases,Lost_Someone_COVID,User_Type,Dataset_Source,Age_Group,Age_Numeric,Gender_Standardized
45,Male,Married or married,"Partner or wife/husband, Son(s) who is a child(s)",8,Master's degree,; HE = Higher Education,1,Private,From 31 to 40 hours a week,From 51 to 60 h per week,Between 11 and 20 years,I have access,1,1,1,4,I have access,1,2,4,4,8,Already used,2,1,2,2,2,2,2,2,1,1,19,3,- I totally agree,3,1,1,1,1,1,1,1,5,5,2.0,3,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,- Weekly,4,4,0,4,1.0,4,2,0,0.0,4,4.0,4,4,4,1,4,2.0,4,0.0,54,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,45-54,45.0,Male
29,Male,Single,Alone,3,Master's degree,; HE = Higher Education,1,Public,From 31 to 40 hours a week,From 51 to 60 h per week,Between 1 and 5 years,I have access,0,1,0,2,I have access,1,2,4,4,8,Already used,2,1,1,2,2,2,2,2,1,1,18,4,- Partially agree,3,2,4,4,2,5,1,1,1,1,1.0,1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,- Weekly,4,4,4,4,4.0,4,4,4,4.0,4,4.0,4,0,4,1,4,0.0,4,4.0,69,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,25-34,29.0,Male
33,Female,Married or married,Partner or wife/husband,3,Specialization,; HS = High School,1,Public,From 21 to 30 h per week,From 31 to 40 hours a week,Between 6 and 10 years,I have access,0,1,0,2,I have access,1,2,3,3,6,Already used,2,2,2,2,0,1,1,2,1,1,16,4,- I totally agree,5,5,5,5,5,5,1,1,3,2,4.0,1,47,-1,-1,-1,0,0,-1,-1,0,-1,-6,- Monthly,3,4,3,3,4.0,3,0,0,0.0,1,3.0,4,4,2,1,0,0.0,3,0.0,41,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,25-34,33.0,Female
41,Female,Single,"Parents and/or siblings, Pet (dog, cat, etc.)",1,Specialization,; ES = Elementary School,1,Private,From 41 to 50 h per week,From 51 to 60 h per week,Between 21 and 30 years,I have access,0,1,0,2,I have access,1,2,4,4,8,Already used,2,2,2,2,2,2,2,2,2,2,22,0,- I totally agree,3,4,5,5,5,5,1,1,5,5,3.0,1,48,No changes,1,0,1,0,0,-1,-1,-1,-1,- Weekly,4,4,4,4,4.0,4,0,0,0.0,0,0.0,4,4,2,0,0,0.0,0,0.0,38,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,41.0,Female
59,Female,Married or married,"Partner or wife/husband, Adult Son(s)",3,Specialization,; MS = Middle School,1,Public,From 31 to 40 hours a week,From 51 to 60 h per week,Between 21 and 30 years,I have access,0,1,0,2,I have access,1,2,4,4,8,I had never used and started using in pandemic,2,1,1,0,2,0,0,0,0,0,7,3,- I totally agree,5,5,5,4,5,2,1,1,2,2,5.0,1,43,-1,-1,1,-1,0,-1,-1,0,-1,-5,- Annually,4,2,2,2,2.0,3,0,4,0.0,2,2.0,3,4,2,2,2,0.0,2,0.0,40,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,55+,59.0,Female
29,Female,Single,"Partner or wife/husband, Other people,  Pet (dog, cat, etc.)",3,Master's degree,; MS = Middle School,1,Public,From 31 to 40 hours a week,From 51 to 60 h per week,Between 6 and 10 years,I have access,0,1,0,2,I have access,1,2,4,5,9,Already used,2,1,1,2,2,2,1,2,1,1,17,5,- I totally agree,5,5,5,5,1,4,5,3,4,1,5.0,2,50,No changes,0,0,0,0,0,-1,0,0,-1,- Monthly,4,2,4,0,4.0,2,0,0,0.0,2,,2,2,3,4,4,2.0,0,0.0,38,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,25-34,29.0,Female
44,Male,Single,Alone,4,Specialization,; HE = Higher Education,1,Public,From 11 to 20 h per week,From 11 to 20 h per week,Between 21 and 30 years,I have access,1,1,0,3,I have access,1,2,4,4,8,Already used,2,1,1,2,2,2,1,1,1,1,16,6,- I totally agree,4,4,4,5,4,3,1,1,3,3,3.0,1,41,-1,-1,0,0,0,-1,-1,-1,-1,-6,- Monthly,3,3,3,3,1.0,3,1,1,0.0,1,2.0,4,4,2,1,1,1.0,3,3.0,43,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,44.0,Male
43,Male,Single,Other people,4,Specialization,; MS = Middle School,1,Private,From 31 to 40 hours a week,From 11 to 20 h per week,Between 11 and 20 years,I have access,1,1,1,4,I have access,1,2,5,5,10,Already used,2,1,1,1,1,1,2,1,1,1,14,8,I totally disagree,5,5,5,5,5,5,1,5,5,4,5.0,5,56,No changes,1,1,-1,0,0,-1,0,0,0,- Annually,2,2,2,2,3.0,2,2,1,1.0,3,1.0,2,3,0,4,3,3.0,2,0.0,40,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,43.0,Male
37,Female,Single,Alone,1,Specialization,; MS = Middle School,2,Public,From 51 to 60 h per week,From 51 to 60 h per week,Between 11 and 20 years,I have access,0,1,0,2,I have access,1,2,4,4,8,Already used,2,2,2,2,2,2,1,0,2,0,17,1,- I totally agree,5,5,5,4,4,5,1,5,5,4,4.0,1,53,-1,0,-1,-1,-1,-1,-1,-1,-1,-8,Never,1,1,3,1,4.0,2,0,0,0.0,3,1.0,2,4,3,3,3,3.0,1,0.0,36,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,37.0,Female
44,Female,Married or married,"Partner or wife/husband, Pet (dog, cat , etc.)",5,Specialization,; HS = High School,2,Public,From 51 to 60 h per week,From 51 to 60 h per week,Between 11 and 20 years,I have access,1,1,1,4,I have access,1,2,4,5,9,Already used,2,1,2,2,2,2,2,1,1,0,17,3,- I totally agree,5,4,5,3,3,5,1,4,5,5,1.0,1,47,-1,-1,0,0,0,-1,-1,0,-1,-5,- Weekly,4,2,1,3,4.0,4,3,0,3.0,2,4.0,4,1,3,1,3,4.0,4,3.0,57,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,44.0,Female
,Female,Single,"Parents and/or siblings, Adult Son(s), Pet (dog, cat, etc.)",3,Complete graduation,; MS = Middle School,1,Public,From 31 to 40 hours a week,From 31 to 40 hours a week,Between 11 and 20 years,I have access,1,0,0,2,I have access,1,2,4,5,9,Already used,2,0,2,2,2,2,0,0,2,0,14,0,- I totally agree,5,4,3,1,5,2,1,1,3,1,5.0,1,37,-1,-1,0,-1,0,-1,-1,0,-1,-6,- Monthly,4,4,0,0,4.0,3,1,3,4.0,4,3.0,4,4,1,4,4,4.0,2,0.0,56,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,Unknown,,Female
43,Male,Single,Other people,4,Specialization,; MS = Middle School,1,Private,From 31 to 40 hours a week,From 11 to 20 h per week,Between 11 and 20 years,I have access,1,1,1,4,I have access,1,2,5,5,10,Already used,2,1,1,1,1,1,2,1,1,1,14,8,I totally disagree,5,5,5,5,5,5,1,5,5,4,5.0,5,56,No changes,1,1,-1,0,0,-1,0,0,0,- Annually,2,2,2,2,3.0,2,2,1,1.0,3,1.0,2,3,0,4,3,3.0,2,0.0,40,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,43.0,Male
29,Male,Single,"Partner or wife/husband, Son(s) who is a child,Other people",5,Complete graduation,; HS = High School,1,Public,From 31 to 40 hours a week,From 41 to 50 h per week,Between 6 and 10 years,I have access,0,1,0,2,I have access,1,2,3,3,6,Already used,2,1,1,0,2,2,0,0,1,0,11,3,- Partially agree,3,4,4,3,1,4,2,4,3,2,1.0,1,36,-1,0,1,0,0,-1,-1,0,0,-2,- Monthly,3,1,2,1,4.0,4,4,1,1.0,4,4.0,1,1,4,3,4,4.0,4,2.0,55,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,25-34,29.0,Male
49,Female,Married or married,"Partner or wife/husband, Adult Son(s)",1,Specialization,; HS = High School,1,Public,From 31 to 40 hours a week,From 41 to 50 h per week,Between 21 and 30 years,I have access,1,1,1,4,I have access,1,2,4,5,9,Already used,2,2,2,2,2,2,2,2,2,0,20,0,- I totally agree,5,4,1,2,1,4,3,3,5,1,1.0,5,40,No changes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0,1,0,0.0,3,4.0,1,4,0,3,1,3.0,0,0.0,23,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,45-54,49.0,Female
42,Female,Married or married,"Partner or wife/husband, Son(s) who is child(s), Adult Son(s), Pet (dog, cat, etc.)",1,Master's degree,; ES = Elementary School,2,Public,From 21 to 30 h per week,From 31 to 40 hours a week,Between 6 and 10 years,I have access,0,1,1,3,I have access,1,2,4,4,8,Already used,2,1,1,2,2,2,1,1,1,1,16,6,- I totally agree,4,4,4,4,3,5,1,1,4,3,4.0,1,43,No changes,0,1,-1,-1,-1,-1,-1,-1,-5,- Monthly,1,1,0,4,4.0,4,3,0,0.0,3,3.0,4,4,3,3,0,0.0,4,0.0,44,No,2,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,42.0,Female
42,Female,Married or married,"Partner or wife/husband, Son(s) who is a child(s)",1,Complete graduation,; HS = High School,1,Public,From 21 to 30 h per week,From 31 to 40 hours a week,Between 11 and 20 years,I have access,0,1,0,2,I have access,1,2,5,5,10,Already used,2,1,1,2,2,2,0,0,1,1,14,4,"- I do not agree, nor disagree",4,4,4,4,4,4,1,1,4,3,4.0,1,41,-1,-1,-1,-1,0,-1,-1,0,0,-6,- Monthly,3,3,3,2,3.0,3,3,0,0.0,2,3.0,3,4,2,2,3,3.0,3,1.0,49,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,42.0,Female
47,Male,Married or married,"Partner or wife/husband, Son(s) adolescents",7,Master's degree,; HS = High School,1,Public,From 31 to 40 hours a week,From 31 to 40 hours a week,Between 21 and 30 years,I have access,0,1,1,3,I have access,1,2,5,5,10,Already used,2,1,2,2,2,2,1,0,1,0,15,3,- I totally agree,3,3,3,3,3,5,1,1,2,5,3.0,1,38,No changes,0,-1,-1,0,-1,-1,-1,-1,-6,Never,1,1,4,3,4.0,3,1,0,2.0,1,3.0,4,1,3,2,1,1.0,3,0.0,39,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,45-54,47.0,Male
57,Female,Divorced or separated,"Alone), Pet (dog, cat , etc.)",1,Specialization,; ES = Elementary School,1,Public,From 31 to 40 hours a week,From 51 to 60 h per week,Between 21 and 30 years,I have access,0,1,0,2,I have access,1,2,4,4,8,I had never used and started using in pandemic,1,1,1,2,2,2,1,0,1,0,12,6,- I totally agree,4,4,4,4,4,5,1,1,4,3,1.0,1,41,-1,-1,0,-1,0,0,-1,0,0,-4,Never,1,1,1,1,3.0,1,3,0,1.0,3,1.0,1,3,1,3,3,3.0,1,0.0,32,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,55+,57.0,Female
38,Female,Married or married,"Partner or wife/husband, Child(s) who is child(s), Pet (dog, cat , etc.)",3,Complete graduation,ECE = Early Childhood Education,1,Public,From 31 to 40 hours a week,From 31 to 40 hours a week,Between 1 and 5 years,I have access,1,1,0,3,I have access,1,2,5,4,9,Already used,2,1,1,2,0,0,1,1,1,1,12,6,- I totally agree,4,4,4,5,3,5,1,1,1,3,4.0,2,42,No changes,0,-1,-1,0,-1,-1,0,0,-4,- Weekly,3,4,4,3,3.0,4,0,1,0.0,1,1.0,4,4,3,0,3,2.0,3,1.0,48,No,2,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,38.0,Female
45,Female,Married or married,"Partner or wife/husband, Son(s) who is a child(s)",3,Specialization,; HS = High School,2,Public,From 51 to 60 h per week,From 31 to 40 hours a week,Between 11 and 20 years,I have access,1,0,0,2,I have access,1,2,4,4,8,Already used,2,1,1,2,2,1,1,1,1,1,15,7,- I totally agree,5,5,5,5,5,5,1,1,5,4,5.0,1,52,No changes,-1,0,0,-1,-1,-1,0,-1,-5,- Monthly,3,3,4,3,1.0,3,0,0,0.0,1,0.0,4,4,0,0,0,0.0,1,0.0,30,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,45-54,45.0,Female
36,Female,Divorced or separated,Son(s) adolescents,5,Specialization,; MS = Middle School,2,Public,From 31 to 40 hours a week,From 21 to 30 h per week,Between 1 and 5 years,I have access,0,1,0,2,I have access,1,2,2,2,4,Already used,2,2,2,2,2,2,1,0,2,0,17,1,- I totally agree,3,3,3,4,4,5,1,1,2,2,4.0,1,38,-1,-1,1,1,1,0,-1,-1,0,-1,Never,1,3,4,3,0.0,2,1,0,0.0,1,2.0,2,4,2,1,0,0.0,2,1.0,30,No,1,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,36.0,Female
24,Female,Married or married,Partner or wife/husband,1,Master's degree,; ES = Elementary School,2,Public,From 31 to 40 hours a week,From 11 to 20 h per week,Between 1 and 5 years,I have access,1,1,1,4,I have access,1,2,5,4,9,Already used,2,1,2,2,2,2,1,1,1,2,18,4,- I totally agree,4,3,1,3,2,5,4,1,5,1,3.0,1,38,-1,-1,-1,0,0,-1,-1,0,-1,-6,Never,2,1,1,1,4.0,1,3,0,0.0,3,1.0,0,4,1,3,3,3.0,1,0.0,33,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,18-24,24.0,Female
44,Female,Single,Parents and/or siblings,1,Specialization,; HS = High School,1,Public,From 21 to 30 h per week,From 51 to 60 h per week,Between 1 and 5 years,I have access,0,1,1,3,I have access,1,2,5,5,10,Already used,2,1,2,2,2,2,1,0,2,0,16,2,- Partially agree,5,5,4,4,5,4,1,2,3,5,2.0,2,46,No changes,0,-1,-1,0,-1,-1,0,-1,-5,- Monthly,4,4,4,4,3.0,3,0,0,0.0,1,1.0,4,4,2,1,1,1.0,1,0.0,41,Yes,2,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,44.0,Female
41,Female,Married or married,Partner or wife/husband,3,Complete graduation,; ES = Elementary School,1,Private,From 21 to 30 h per week,From 31 to 40 hours a week,Between 11 and 20 years,I have access,0,1,1,3,I have access,1,2,4,4,8,Already used,2,1,1,2,2,2,1,2,2,0,17,3,- I totally agree,5,5,5,3,5,4,1,1,5,1,2.0,1,43,-1,-1,-1,0,0,-1,-1,0,-1,-6,- Weekly,3,4,4,4,4.0,4,1,0,0.0,1,1.0,3,3,3,1,0,0.0,0,4.0,44,Yes,1,Teacher,Brazilian_Teacher_Burnout_COVID19,35-44,41.0,Female
